	Standardized_name	Formula	Exact_mass	Super_class	Main_class	Sub_class	Pubchem_CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	REFMET_ID
2-hydroxyglutarate+Na	2-Hydroxyglutaric acid	C5H8O5	148.0372	Fatty Acyls	Fatty acids	Dicarboxylic acids	43	17084	HMDB0059655	LMFA01050483	C02630	HWXBTNAVRSUOJR-UHFFFAOYSA-N	RM0153554
2-Hydroxyphenylalanine	2-Hydroxyphenylalanine	C9H11NO3	181.0739	Organic acids	Amino acids and peptides	Amino acids	6950574	91037				WRFPVMFCRNYQNR-ZETCQYMHSA-N	RM0156090
3'-CMP	3'-CMP	C9H14N3O8P	323.0519	Nucleic acids	Pyrimidines	Pyrimidine rNMP	66535	53013	HMDB0240312		C05822	UOOOPKANIPLQPU-XVFCMESISA-N	RM0043305
3-HYDROXYKYNURENINE	Hydroxykynurenine	C10H12N2O4	224.0797	Organic acids	Amino acids and peptides	Amino acids	11811	17380	HMDB0011631		C03227	VCKPUUFAIGNJHC-LURJTMIESA-N	RM0132211
3-UREIDOPROPIONATE	Ureidopropionic acid	C4H8N2O3	132.0535	Organic nitrogen compounds	Organonitrogen compounds	Ureas	111	18261	HMDB0000026		C02642	JSJWCHRYRHKBBW-UHFFFAOYSA-N	RM0135867
4-AMINOBUTANOATE (GABA)_R1	gamma-Aminobutyric acid	C4H9NO2	103.0633	Fatty Acyls	Fatty acids	Amino FA	119	16865	HMDB0000112	LMFA01100039	C00334	BTCSSZJGUNDROE-UHFFFAOYSA-N	RM0153263
4-AMINOBUTANOATE (GABA)_R2	gamma-Aminobutyric acid	C4H9NO2	103.0633	Fatty Acyls	Fatty acids	Amino FA	119	16865	HMDB0000112	LMFA01100039	C00334	BTCSSZJGUNDROE-UHFFFAOYSA-N	RM0153263
4-GUANIDINOBUTANOATE	4-Guanidinobutanoic acid	C5H11N3O2	145.0851	Organic nitrogen compounds	Guanidines	Guanidines	500	86564	HMDB0003464		C01035	TUHVEAJXIMEOSA-UHFFFAOYSA-N	RM0128522
5,6-DIHYDROURACIL	Dihydrouracil	C4H6N2O2	114.0429	Nucleic acids	Pyrimidines	Other pyrimidines	649	15901	HMDB0000076		C00429	OIVLITBTBDPEFK-UHFFFAOYSA-N	RM0135879
5-AMINOLEVULINIC ACID	5-Amino-levulinic acid	C5H9NO3	131.0582	Fatty Acyls	Fatty acids	Amino FA	137	17549	HMDB0001149	LMFA01100055	C00430	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	RM0153225
5-HYDROXY-L-TRYPTOPHAN_R1	5-Hydroxy-tryptophan	C11H12N2O3	220.0848	Organic acids	Amino acids and peptides	Amino acids	439280	17780	HMDB0000472		C00643	LDCYZAJDBXYCGN-VIFPVBQESA-N	RM0131839
5-HYDROXY-L-TRYPTOPHAN_R2	5-Hydroxy-tryptophan	C11H12N2O3	220.0848	Organic acids	Amino acids and peptides	Amino acids	439280	17780	HMDB0000472		C00643	LDCYZAJDBXYCGN-VIFPVBQESA-N	RM0131839
5-Hydroxymethyl-2-furaldehyde	5-Hydroxymethyl-2-furancarboxaldehyde	C6H6O3	126.0317	Organic oxygen compounds	Carbonyl compounds	Aryl-aldehydes	237332	412516	HMDB0034355		C11101	NOEGNKMFWQHSLB-UHFFFAOYSA-N	RM0038424
5-OXO-L-PROLINE	Pyroglutamic acid	C5H7NO3	129.0426	Organic acids	Amino acids and peptides	Amino acids	7405	18183	HMDB0000267		C01879	ODHCTXKNWHHXJC-VKHMYHEASA-N	RM0135924
Acyl-Carnitine(5-OH)	"CAR 5:0;OH"	C12H23NO5	261.1576	Fatty Acyls	Fatty esters	Acyl carnitines							RM0154127
ADENINE_R1	Adenine	C5H5N5	135.0545	Nucleic acids	Purines	Aminopurines	190	16708	HMDB0000034		C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N	RM0049281
ADENINE_R2	Adenine	C5H5N5	135.0545	Nucleic acids	Purines	Aminopurines	190	16708	HMDB0000034		C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N	RM0049281
a-Ketoglutaric Acid	2-Oxoglutaric acid	C5H6O5	146.0215	Organic acids	TCA acids	TCA acids	51	30915	HMDB0000208		C00026	KPGXRSRHYNQIFN-UHFFFAOYSA-N	RM0135911
ALANINE/SARCOSINE_R1	Alanine/Sarcosine	C3H7NO2	89.0477	Organic acids	Amino acids and peptides	Amino acids							RM0051482
ALANINE/SARCOSINE_R2	Alanine/Sarcosine	C3H7NO2	89.0477	Organic acids	Amino acids and peptides	Amino acids							RM0051482
ALDO/KETO-HEXOSE	Hexose	C6H12O6	180.0634	Carbohydrates	Monosaccharides	Hexoses	206	167473	HMDB0250761		C00984	WQZGKKKJIJFFOK-UHFFFAOYSA-N	RM0042958
Allopurinol	Allopurinol	C5H4N4O	136.0385	Nucleic acids	Pyrimidines	Other pyrimidines	135401907	40279	HMDB0014581			OFCNXPDARWKPPY-UHFFFAOYSA-N	RM0032940
ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE	-						-	-	-	-	-	-	-
Anthranilate	2-Aminobenzoic acid	C7H7NO2	137.0477	Benzenoids	Benzenes	Aminobenzoic acids	227	30754	HMDB0001123		C00108	RWZYAGGXGHYGMB-UHFFFAOYSA-N	RM0013238
ASPARTATE_R1	Aspartic acid	C4H7NO4	133.0375	Organic acids	Amino acids and peptides	Amino acids	5960	17053	HMDB0000191		C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	RM0135905
ASPARTATE_R2	Aspartic acid	C4H7NO4	133.0375	Organic acids	Amino acids and peptides	Amino acids	5960	17053	HMDB0000191		C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	RM0135905
BETAINE	Betaine	C5H11NO2	117.079	Organic acids	Amino acids and peptides	Amino acids	247	17750	HMDB0000043			KWIUHFFTVRNATP-UHFFFAOYSA-N	RM0135869
BOC-D-Phenylalanine	-						-	-	-	-	-	-	-
BOC-L-Tyrosine_R1	Tyrosine	C9H11NO3	181.0739	Organic acids	Amino acids and peptides	Amino acids	6057	17895	HMDB0000158		C00082	OUYCCCASQSFEME-QMMMGPOBSA-N	RM0135896
BOC-L-Tyrosine_R2	Tyrosine	C9H11NO3	181.0739	Organic acids	Amino acids and peptides	Amino acids	6057	17895	HMDB0000158		C00082	OUYCCCASQSFEME-QMMMGPOBSA-N	RM0135896
Caffeine-D3	Caffeine	C8H10N4O2	194.0804	Nucleic acids	Purines	Xanthines	2519	27732	HMDB0001847		C07481	RYYVLZVUVIJVGH-UHFFFAOYSA-N	RM0032992
Chenodeoxycholic Acid (CDCA)_R1	Chenodeoxycholic acid	C24H40O4	392.2927	Sterol Lipids	Bile acids	C24 Bile acids	10133	16755	HMDB0000518	LMST04010032	C02528	RUDATBOHQWOJDD-BSWAIDMHSA-N	RM0135803
Chenodeoxycholic Acid (CDCA)_R2	Chenodeoxycholic acid	C24H40O4	392.2927	Sterol Lipids	Bile acids	C24 Bile acids	10133	16755	HMDB0000518	LMST04010032	C02528	RUDATBOHQWOJDD-BSWAIDMHSA-N	RM0135803
Chenodeoxycholyglycine (GCDCA)_R1	Glycochenodeoxycholic acid	C26H43NO5	449.3141	Sterol Lipids	Bile acids	C24 Bile acids	12544	36274	HMDB0000637	LMST05030008	C05466	GHCZAUBVMUEKKP-GYPHWSFCSA-N	RM0135850
